Date_id,Date_day
1427,2018-08-09
1428,2018-08-10
1429,2018-08-13
1430,2018-08-14
1431,2018-08-15
1432,2018-08-16
1433,2018-08-17
1434,2018-08-20
1435,2018-08-21
1436,2018-08-22
1437,2018-08-23
1438,2018-08-24
1439,2018-08-27
1440,2018-08-28
1441,2018-08-29
1442,2018-08-30
1443,2018-08-31
1444,2018-09-04
1445,2018-09-05
1446,2018-09-06
1447,2018-09-07
1448,2018-09-10
1449,2018-09-11
1450,2018-09-12
1451,2018-09-13
1452,2018-09-14
1453,2018-09-17
1454,2018-09-18
1455,2018-09-19
1456,2018-09-20
1457,2018-09-21
1458,2018-09-24
1459,2018-09-25
1460,2018-09-26
1461,2018-09-27
1462,2018-09-28
1463,2018-10-01
1464,2018-10-02
1465,2018-10-03
1466,2018-10-04
1467,2018-10-05
1468,2018-10-08
1469,2018-10-09
1470,2018-10-10
1471,2018-10-11
1472,2018-10-12
1473,2018-10-15
1474,2018-10-16
1475,2018-10-17
1476,2018-10-18
1477,2018-10-19
1478,2018-10-22
1479,2018-10-23
1480,2018-10-24
1481,2018-10-25
1482,2018-10-26
1483,2018-10-29
1484,2018-10-30
1485,2018-10-31
1486,2018-11-01
1487,2018-11-02
1488,2018-11-05
1489,2018-11-06
1490,2018-11-07
1491,2018-11-08
1492,2018-11-09
